Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,3,45748380179,0.016674132945946944,47.020673751831055,6,1671
0,3,63611911881,0.004046398016952634,46.659231185913086,6,1670
0,4,25213648491,0.10488406313250172,46.82445526123047,6,1636
0,6,68535081181,0.032171957957068724,62.283992767333984,6,1678
2,2,9999868852,0.1508037481063683,46.74482345581055,6,1651
2,4,85693299783,0.0016257205039950531,47.319650650024414,6,1637
2,5,42291363289,0.04490909300854081,47.26552963256836,6,1642
0,2,39140599875,0.04265340782044662,47.11270332336426,3,1657
0,3,12907324703,0.028579001740965306,46.73147201538086,3,1711
0,1,36817426165,0.02812126708607115,47.078847885131836,3,1635
0,3,98652661451,0.008063842547450843,46.239614486694336,3,1710
0,1,45007172807,0.023022875971750453,46.88835144042969,3,1634
0,1,62461868284,0.01819280766418457,46.47564888000488,3,1633
2,3,30624899778,0.013912049771403399,47.13606834411621,3,1712
2,4,40098435230,0.0009741483802220868,47.26743698120117,8,1704
0,1,59636287575,0.07519598860893227,47.179460525512695,7,1654
0,7,64005678255,0.044232733723906306,47.24860191345215,8,1642
2,5,55856298421,0.03590674931369336,47.249794006347656,7,1603
0,1,16880601047,0.06194630089114324,47.25217819213867,6,1692
0,7,62607229702,0.006400272233266182,46.863555908203125,8,1691
0,4,66208303345,0.016161972668868804,47.04165458679199,7,1635
2,7,47561000397,0.054887791771032673,62.83998489379883,13,1719
0,10,49107029450,0.006772512341087711,47.19996452331543,10,1711
2,1,94151505176,0.0015136463315418112,63.12084197998047,5,1646
0,9,28957940886,0.010089715933949958,46.816110610961914,9,1631
0,8,34306338740,0.036146051944490505,47.17874526977539,9,1669
0,6,31533387209,0.009699936701630623,47.180891036987305,12,1683
0,3,20042833895,0.012678248976917281,47.13296890258789,8,1615
2,3,80987911108,0.015256461404281173,47.16992378234863,7,1686
0,10,52616764933,0.018963642266429333,46.87929153442383,13,1626
0,14,70609407419,0.01443148493106238,47.194719314575195,17,1695
2,4,97826218972,0.03037849689989041,56.05196952819824,16,1716
0,29,42381394837,0.03186546952440735,62.68620491027832,34,1670
